category,confidence,reasoning,txn_id,description
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10508,Tax advisory - transfer pricing documentation annual
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10509,PR agency retainer - media relations Q1
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-10510,Spouse flight ticket - accompanied personal travel
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (renewal).,TXN-10511,Health insurance group policy annual premium renewal
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10514,Intercom Business annual - customer messaging 10 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (server).,TXN-10515,Tableau Desktop + Server annual - 15 creator seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10516,Content marketing agency quarterly retainer - Q2
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,INV-10517,Herman Miller Aeron chairs - 10 units ergonomic upgrade
Travel & Transport,0.84,"Description references travel or transport (flight, boarding).",TXN-10518,Flight CCU-BOM for Mumbai client onboarding visit
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-10519,Cloudflare Enterprise DDoS annual - production CDN
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-10520,CRM enterprise license Q3 - EMEA region expansion 150 users
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10521,New Relic Full Platform annual - 100GB data ingest
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10522,Due diligence report - acquisition target preliminary
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,CLM-10524,Figma Organization plan annual - design team 40 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (hubspot).,TXN-10526,HubSpot Sales Hub Enterprise annual - 50 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-10527,Annual Slack Business+ renewal - 200 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",TXN-10528,Refund - subscription downgrade credit Slack Business to Pro
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-10529,S3 storage costs - analytics data lake monthly billing
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,PROC-10530,MacBook Pro M3 Max 14in - engineer workstation batch 5 units
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10531,Flight BLR-AMS for Amsterdam engineering summit - 2 pax
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-10533,Credit note - overpayment on AWS Q1 invoice
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10534,Atlassian Cloud bundle - Jira Software + JSM 500 users
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10535,Atlassian Cloud bundle - Jira Software + JSM 500 users
Meals & Catering,0.84,"Description references food/catering context (lunch, catering).",TXN-10536,Board meeting catering - 10 directors working lunch
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-10537,Azure Blob storage - backup and DR repository monthly
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10538,MacBook Pro M3 Max 14in - engineer workstation batch 5 units
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10539,Flight DEL-DXB for Dubai partner summit - 3 pax economy class
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (subscription, hubspot).",TXN-10540,HubSpot Marketing Hub Professional annual subscription
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-10541,Investor roadshow dinner - 6 guests fine dining
Travel & Transport,0.55,Description references travel or transport (train).,TXN-10542,Radisson Blu Hyderabad - 6 nights team training programme
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-10543,Freshdesk Growth annual - support platform 25 agents
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-10544,All-hands team dinner Q2 wrap-up event 95 pax
Personal Expense,0.66,"Description contains personal-use indicators (personal, grocery).",TXN-10545,Uber ride - Personal grocery run on weekend trip
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10547,GitHub Enterprise Cloud annual - 300 developer seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10548,Payout API bulk disbursement processing fee - April 2026 cycle
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10549,Cloud compute Q2 infra scaling - production cluster autoscaling
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,INV-10550,Payment gateway monthly transaction processing fees - June cycle
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,PROC-10551,Payment gateway monthly transaction processing fees - May cycle
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10552,Atlassian Cloud bundle - Jira Software + JSM 500 users
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-10553,Cloudflare Enterprise DDoS annual - production CDN
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10555,Grammarly Business annual - writing assistant 30 seats
Finance & Banking,0.55,Description references financial services or payment processing (stripe).,TXN-10557,Stripe processing fees - monthly statement April
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-10559,Spouse flight ticket - accompanied personal travel
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,CLM-10560,Event sponsorship - SaaSBoomi annual conference
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10561,Office pantry restocking monthly - beverages snacks 200 staff
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-10562,Adobe Sign enterprise annual - 500 transaction pack
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-10564,Razorpay settlement reconciliation charges - Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10566,Taj Lands End Mumbai - 2 nights partner event accommodation
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10567,Cloud compute Q3 reserved capacity - multi-region failover setup
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,PMT-10568,Salesforce Sales Cloud Enterprise annual - 50 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10569,Town hall snacks and beverages - 200 employees all-hands
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10570,Cloud compute Q3 reserved capacity - multi-region failover setup
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-10571,Conrad Bengaluru - 3 nights executive team stay
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10572,Asana Business annual - work management 75 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (zoom).,TXN-10573,Zoom Phone enterprise add-on - 200 DID numbers annual
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10574,Payout API bulk disbursement processing fee - May 2026 cycle
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-10575,CRM enterprise license Q2 - APAC region expansion 300 users
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10576,IP filing - 3 patent applications technology division
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-10577,Catering for Q3 OKR setting workshop - 80 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10578,Google Ads campaign - Q3 brand performance spend
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-10579,1Password Teams annual - 80 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,TXN-10580,Notion Enterprise annual - knowledge management 150 seats
Finance & Banking,0.55,Description references financial services or payment processing (forex).,TXN-10581,FEMA compliance advisory - cross-border forex transactions
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (salesforce, license).",TXN-10582,Salesforce CPQ add-on module annual license - 200 named users
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",INV-10583,Annual Slack Business+ renewal - 200 seats
